2024-10-24 12:04:00,008 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 12:04:01,298 - DEBUG - __main__ - Name of the 894 File to be Integrated: C:\Projects\FoodLand\Dex\DexFiles\dextest.dex 
2024-10-24 12:04:01,309 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 12:04:01,309 - DEBUG - __main__ - The associated store is : 1 
2024-10-24 12:04:01,663 - DEBUG - __main__ - Request successful!
2024-10-24 12:04:01,663 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 12:04:01,663 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 12:08:59,379 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 12:08:59,379 - DEBUG - __main__ - Name of the 894 File to be Integrated: C:\Projects\FoodLand\Dex\DexFiles\dextest.dex 
2024-10-24 12:08:59,379 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 12:08:59,379 - DEBUG - __main__ - The associated store is : 1 
2024-10-24 12:08:59,680 - DEBUG - __main__ - Request successful!
2024-10-24 12:08:59,680 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 12:08:59,680 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 12:10:35,969 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 12:10:35,974 - DEBUG - __main__ - Name of the 894 File to be Integrated: C:\Projects\FoodLand\Dex\DexFiles\dextest.dex 
2024-10-24 12:10:35,974 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 12:10:35,974 - DEBUG - __main__ - The associated store is : 1 
2024-10-24 12:10:36,343 - DEBUG - __main__ - Request successful!
2024-10-24 12:10:36,343 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 12:10:36,343 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 12:15:21,284 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 12:15:21,284 - DEBUG - __main__ - Name of the 894 File to be Integrated: C:\Projects\FoodLand\Dex\DexFiles\dextest.dex 
